FechaExtraccion,Año,PC,Cat,TipDia,ValMop,Hinicio,Hfin,Tarifa_Inf,Tarifa_Inicial,Tarifa_Periodo,Conces,Sentido
2023-11-06T16:16:37.76Z,2020,0007,2,0002,148.98,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0002,223.47,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0002,74.49,210000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0004,74.49,000000,125959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0004,148.98,000000,125959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0004,223.47,000000,125959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0004,74.49,000000,125959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0004,148.98,130000,145959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,2,0004,297.96,130000,145959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,3,0004,446.95,130000,145959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,4,0004,148.98,130000,145959,,TBP,TBP,AVN,O
2023-11-06T16:16:37.76Z,2020,0007,1,0004,74.49,150000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2023,0005,1,0001,400.44,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2023,0005,2,0001,800.88,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2023,0005,3,0001,1201.32,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2023,0005,4,0001,400.44,000000,235959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0009,3,0004,1173.23,150000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2020,0009,4,0004,391.08,150000,175959,,TBFP,TBFP,AVN,O
2023-11-06T16:16:37.76Z,2018,0006,2,0004,589.31,000000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0006,3,0004,883.97,000000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0006,4,0004,294.66,000000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0001,229.18,000000,155959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0001,458.35,000000,155959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0001,687.53,000000,155959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0001,229.18,000000,155959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0001,458.35,160000,162959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0001,916.71,160000,162959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0001,1375.06,160000,162959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0001,458.35,160000,162959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0001,229.18,163000,165959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0001,458.35,163000,165959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0001,687.53,163000,165959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0001,229.18,163000,165959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0001,458.35,170000,172959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0001,916.71,170000,172959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0001,1375.06,170000,172959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0001,458.35,170000,172959,,TBFP,TBP,AVN,P
