FechaExtraccion,CicloFacturacion,FechaCorteCiclo,FechaInicioMes,FechaFinMes,FechaConta,Ruta_Documentos
2023-09-04T18:36:27.484Z,CICLON01,2022-05-31,2022-06-01,2022-06-30,2022-06-03,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON03,2022-06-07,2022-06-01,2022-06-30,2022-06-10,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON01,2022-06-30,2022-07-01,2022-07-31,2022-07-04,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON01,2022-07-31,2022-08-01,2022-08-31,2022-08-04,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON02,2022-08-04,2022-08-01,2022-08-31,2022-08-09,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON04,2022-08-12,2022-08-01,2022-08-31,2022-08-16,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON03,2021-11-07,2021-11-01,2021-11-30,2021-11-12,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON07,2021-12-31,2022-01-01,2022-01-31,2022-01-10,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON01,2022-01-31,2022-02-01,2022-02-28,2022-02-04,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
2023-09-04T18:36:27.484Z,CICLON04,2022-02-12,2022-02-01,2022-02-28,2022-02-15,\\avnnasbkp\GEX\Comercial\Explotacion Comercial\Facturacion Y Procesos Comerciales\08 ProcesosFacturación\Producción\Evidencias Ciclos de Negocios\Facturacion
